Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2019-12-20,47,TN,47037,Davidson County,135718,558426,2669255,585466,559711,312027,537083,549502,83339,28656,6827,3381,3263,47-47037-20191220,50,12
County,2019-12-21,47,TN,47037,Davidson County,144067,550077,2576099,561965,575443,325247,484371,513559,79576,23625,7041,2861,2411,47-47037-20191221,50,12
County,2019-12-22,47,TN,47037,Davidson County,148883,545261,2413615,552864,555888,298507,452089,449643,66402,25648,7291,2343,2940,47-47037-20191222,51,12
County,2019-12-23,47,TN,47037,Davidson County,141712,552432,2570789,572161,570237,311679,503889,495715,77295,25304,7839,2900,3770,47-47037-20191223,51,12
County,2019-12-24,47,TN,47037,Davidson County,147526,546618,2420229,535863,540377,294940,482631,453513,73248,25404,7705,2980,3568,47-47037-20191224,51,12
County,2019-12-25,47,TN,47037,Davidson County,162523,531621,1964363,438985,408760,217561,353736,414292,84997,30749,7862,2827,4594,47-47037-20191225,51,12
County,2019-12-26,47,TN,47037,Davidson County,155078,539066,2172467,468551,464504,251995,426118,449574,69866,26977,7828,3324,3730,47-47037-20191226,51,12
County,2019-12-27,47,TN,47037,Davidson County,148140,546004,2227942,445129,489886,271911,436164,473906,73388,24415,7487,2734,2922,47-47037-20191227,51,12
County,2019-12-28,47,TN,47037,Davidson County,153656,540488,2258920,481886,489824,279011,445873,453671,70170,25016,7733,2644,3092,47-47037-20191228,51,12
County,2019-12-29,47,TN,47037,Davidson County,178620,515524,1807624,363981,410592,225707,357478,343888,59649,28056,10294,4219,3760,47-47037-20191229,52,12
County,2019-12-30,47,TN,47037,Davidson County,142832,551312,2140159,421530,506776,276563,428830,417020,60087,20513,5251,1809,1780,47-47037-20191230,52,12
County,2019-12-31,47,TN,47037,Davidson County,123109,571035,2941762,609661,674806,377464,570381,582589,91058,25595,6681,1853,1674,47-47037-20191231,52,12
County,2020-01-01,47,TN,47037,Davidson County,166109,528035,1871527,475048,464272,232117,313396,292614,54519,21975,11415,3908,2263,47-47037-20200101,0,1
County,2020-01-02,47,TN,47037,Davidson County,140624,553520,2146592,520914,516958,256741,376654,362207,71010,23072,12709,4254,2073,47-47037-20200102,0,1
County,2020-01-03,47,TN,47037,Davidson County,137229,556915,2291873,551716,549185,284610,399897,393094,69005,24835,12804,4538,2189,47-47037-20200103,0,1
County,2020-01-04,47,TN,47037,Davidson County,146468,547676,2207546,544133,561534,278611,372499,344302,65311,22077,12777,3951,2351,47-47037-20200104,0,1
County,2020-01-05,47,TN,47037,Davidson County,156695,537449,1998788,465885,529843,257015,355804,296955,54289,19729,12105,4197,2966,47-47037-20200105,1,1
County,2020-01-06,47,TN,47037,Davidson County,139814,554330,2251529,544525,532105,276765,394427,396618,70436,21904,9699,3045,2005,47-47037-20200106,1,1
County,2020-01-07,47,TN,47037,Davidson County,131328,562816,2360087,593350,563351,283057,400275,413011,71770,20837,9576,3012,1848,47-47037-20200107,1,1
County,2020-01-08,47,TN,47037,Davidson County,127729,566415,2417098,609237,570369,291851,415560,417347,75548,21871,10116,3359,1840,47-47037-20200108,1,1
County,2020-01-09,47,TN,47037,Davidson County,129224,564920,2406092,600201,564708,291106,419188,416779,75325,23193,10400,3524,1668,47-47037-20200109,1,1
County,2020-01-10,47,TN,47037,Davidson County,125569,568575,2536445,631960,614952,303744,442683,427999,75188,23093,11679,3566,1581,47-47037-20200110,1,1
County,2020-01-11,47,TN,47037,Davidson County,150684,543460,2147198,531833,565227,264873,360547,330811,59171,19349,10599,3345,1443,47-47037-20200111,1,1
County,2020-01-12,47,TN,47037,Davidson County,153706,540438,2129146,528103,556659,266804,370372,322308,52458,17423,9915,3150,1954,47-47037-20200112,2,1
County,2020-01-13,47,TN,47037,Davidson County,134009,560135,2346332,599072,554447,283750,397826,404256,72269,21704,9084,2544,1380,47-47037-20200113,2,1
County,2020-01-14,47,TN,47037,Davidson County,130727,563417,2411188,616443,564243,290671,408398,420605,73790,22717,9592,3397,1332,47-47037-20200114,2,1
County,2020-01-15,47,TN,47037,Davidson County,130670,563474,2416468,622665,570384,286714,411033,414503,74071,21277,10437,3579,1805,47-47037-20200115,2,1
County,2020-01-16,47,TN,47037,Davidson County,128446,565698,2471231,634172,580771,293096,423676,422650,75337,23999,11841,3618,2071,47-47037-20200116,2,1
County,2020-01-17,47,TN,47037,Davidson County,124438,569706,2571074,652396,608633,320042,442932,426503,76996,23796,13809,4101,1866,47-47037-20200117,2,1
County,2020-01-18,47,TN,47037,Davidson County,143160,550984,2352205,574122,599238,303304,402974,369300,64176,22157,11447,3683,1804,47-47037-20200118,2,1
County,2020-01-19,47,TN,47037,Davidson County,155807,538337,2042891,514470,523333,261902,343890,312076,52452,18186,11119,3425,2038,47-47037-20200119,3,1
County,2020-01-20,47,TN,47037,Davidson County,148740,545404,2118840,537735,494418,248704,361270,370590,66886,21945,11559,3718,2015,47-47037-20200120,3,1
County,2020-01-21,47,TN,47037,Davidson County,134311,559833,2346563,585069,550632,280073,408507,411711,73255,22065,10152,3160,1939,47-47037-20200121,3,1
County,2020-01-22,47,TN,47037,Davidson County,126187,567957,2407930,598248,570331,287261,425963,417242,71939,22074,9604,3637,1631,47-47037-20200122,3,1
County,2020-01-23,47,TN,47037,Davidson County,131564,562580,2346623,592933,553847,275551,404522,408798,73162,20954,11214,3787,1855,47-47037-20200123,3,1
County,2020-01-24,47,TN,47037,Davidson County,126817,567327,2525398,632989,604758,312518,434147,422966,75100,24785,12094,4103,1938,47-47037-20200124,3,1
County,2020-01-25,47,TN,47037,Davidson County,141515,552629,2364556,583618,597666,288420,409375,378937,67904,22508,10905,3518,1705,47-47037-20200125,3,1
County,2020-01-26,47,TN,47037,Davidson County,154076,540068,2124376,509236,553057,271337,372866,322466,59116,19345,11173,4129,1651,47-47037-20200126,4,1
County,2020-01-27,47,TN,47037,Davidson County,131101,563043,2389375,621993,565088,285428,401630,410126,68973,20550,10320,3160,2107,47-47037-20200127,4,1
County,2020-01-28,47,TN,47037,Davidson County,131002,563142,2411293,623614,563992,281582,414643,416747,74416,21458,9882,3231,1728,47-47037-20200128,4,1
County,2020-01-29,47,TN,47037,Davidson County,130575,563569,2372139,601449,560928,282164,410504,406954,72348,21722,10581,3595,1894,47-47037-20200129,4,1
County,2020-01-30,47,TN,47037,Davidson County,128652,565492,2361366,598310,551637,276217,406789,408696,72187,24176,14456,5685,3213,47-47037-20200130,4,1
County,2020-01-31,47,TN,47037,Davidson County,125210,568934,2513387,632701,610220,304075,429641,412722,73420,24272,15986,6749,3601,47-47037-20200131,4,1
County,2020-02-01,47,TN,47037,Davidson County,138671,555473,2391964,592967,600066,298001,410611,374182,68638,23066,14965,6284,3184,47-47037-20200201,4,2
County,2020-02-02,47,TN,47037,Davidson County,146466,547678,2200569,555821,579289,281892,366970,317719,55809,19609,14143,5862,3455,47-47037-20200202,5,2
County,2020-02-03,47,TN,47037,Davidson County,129130,565014,2387730,628691,566476,280726,398510,394643,70902,22961,15943,5458,3420,47-47037-20200203,5,2
County,2020-02-04,47,TN,47037,Davidson County,129629,564515,2319433,597381,553169,275817,390466,385729,68999,21725,16878,6057,3212,47-47037-20200204,5,2
County,2020-02-05,47,TN,47037,Davidson County,128653,565491,2339933,602737,559888,280123,395939,382480,72630,21164,16316,5452,3204,47-47037-20200205,5,2
County,2020-02-06,47,TN,47037,Davidson County,127701,566443,2364816,623806,552622,279070,403771,386711,70407,23374,16060,5887,3108,47-47037-20200206,5,2
County,2020-02-07,47,TN,47037,Davidson County,132061,562083,2398427,607664,585334,284084,406461,393724,71187,23471,16836,6009,3657,47-47037-20200207,5,2
County,2020-02-08,47,TN,47037,Davidson County,138498,555646,2409397,621379,605995,290256,409753,372172,65506,22218,13795,4578,3745,47-47037-20200208,5,2
County,2020-02-09,47,TN,47037,Davidson County,165364,528780,2096038,542815,534897,258129,351837,306603,55202,19657,16067,6093,4738,47-47037-20200209,6,2
County,2020-02-10,47,TN,47037,Davidson County,134376,559768,2374218,600318,572072,279314,409744,392775,67971,22876,17864,6128,5156,47-47037-20200210,6,2
County,2020-02-11,47,TN,47037,Davidson County,123571,570573,2467625,634239,574572,292124,425693,413102,75386,23713,17078,6908,4810,47-47037-20200211,6,2
County,2020-02-12,47,TN,47037,Davidson County,128825,565319,2415935,617247,563821,280146,415491,405170,74521,24489,21830,7419,5801,47-47037-20200212,6,2
County,2020-02-13,47,TN,47037,Davidson County,126060,568084,2474130,632989,570577,287440,427737,418784,75998,25083,21977,7307,6238,47-47037-20200213,6,2
County,2020-02-14,47,TN,47037,Davidson County,125175,568969,2759503,696800,652282,330568,480291,449552,83624,27811,24730,7425,6420,47-47037-20200214,6,2
County,2020-02-15,47,TN,47037,Davidson County,140475,553669,2548231,648791,614148,309479,440039,403161,73597,25772,21810,6253,5181,47-47037-20200215,6,2
County,2020-02-16,47,TN,47037,Davidson County,154162,539982,2232519,562821,559198,276995,381350,332578,63809,21825,21330,7040,5573,47-47037-20200216,7,2
County,2020-02-17,47,TN,47037,Davidson County,177388,516756,2061046,541736,478928,236054,342542,343961,68432,22154,18081,4969,4189,47-47037-20200217,7,2
County,2020-02-18,47,TN,47037,Davidson County,133459,560685,2428116,600220,566591,287877,422966,417780,77931,23400,20042,5892,5417,47-47037-20200218,7,2
County,2020-02-19,47,TN,47037,Davidson County,125570,568574,2558386,635305,609352,302943,435943,434762,82947,25751,20922,5501,4960,47-47037-20200219,7,2
County,2020-02-20,47,TN,47037,Davidson County,130940,563204,2400716,590522,566326,283585,409129,414432,80006,25282,21433,5652,4349,47-47037-20200220,7,2
County,2020-02-21,47,TN,47037,Davidson County,129339,564805,2668358,658052,639130,323473,456896,440630,84385,28593,25440,6962,4797,47-47037-20200221,7,2
County,2020-02-22,47,TN,47037,Davidson County,124161,569983,2576183,643812,622374,318568,435067,413830,80767,27257,24017,5927,4564,47-47037-20200222,7,2
County,2020-02-23,47,TN,47037,Davidson County,152618,541526,2243491,558222,572865,291126,384910,325850,62241,22468,17618,5058,3133,47-47037-20200223,8,2
County,2020-02-24,47,TN,47037,Davidson County,144109,550035,2377870,596406,572415,292316,407411,399395,68554,22270,11772,3996,3335,47-47037-20200224,8,2
County,2020-02-25,47,TN,47037,Davidson County,125420,568724,2592865,659751,612133,312029,445047,442852,78183,22950,11837,4375,3708,47-47037-20200225,8,2
County,2020-02-26,47,TN,47037,Davidson County,124840,569304,2453314,625500,617672,311795,420489,378393,61390,21843,10522,3177,2533,47-47037-20200226,8,2
County,2020-02-27,47,TN,47037,Davidson County,127635,566509,2585520,657834,610454,316101,441610,439383,76008,24605,12044,4320,3161,47-47037-20200227,8,2
County,2020-02-28,47,TN,47037,Davidson County,123298,570846,2695323,671234,648533,335712,460134,446089,81542,28007,15509,4991,3572,47-47037-20200228,8,2
County,2020-02-29,47,TN,47037,Davidson County,131773,562371,2708244,669760,679604,340713,462008,433233,76819,25690,12921,4179,3317,47-47037-20200229,8,2
County,2020-03-01,47,TN,47037,Davidson County,142157,551987,2260299,573121,585085,292634,381519,329478,59593,19464,11796,4454,3155,47-47037-20200301,9,3
County,2020-03-02,47,TN,47037,Davidson County,133885,560259,2367410,600422,579189,290738,399967,390960,66633,21650,10959,3314,3578,47-47037-20200302,9,3
County,2020-03-03,47,TN,47037,Davidson County,127881,566263,2595854,740710,671982,301969,408003,357858,71984,24520,12488,4241,2099,47-47037-20200303,9,3
County,2020-03-04,47,TN,47037,Davidson County,122253,571891,2601494,695291,623946,304636,435938,408229,83332,27583,15556,4651,2332,47-47037-20200304,9,3
County,2020-03-05,47,TN,47037,Davidson County,114193,579951,2579426,689053,603688,305217,431068,418182,80049,29318,15814,4720,2317,47-47037-20200305,9,3
County,2020-03-06,47,TN,47037,Davidson County,116064,578080,2612457,665113,618821,319661,444487,424755,83799,29599,18003,5695,2524,47-47037-20200306,9,3
County,2020-03-07,47,TN,47037,Davidson County,122513,571631,2672965,701410,649241,327689,450428,410260,79676,28742,16958,5970,2591,47-47037-20200307,9,3
County,2020-03-08,47,TN,47037,Davidson County,138836,555308,2305517,603380,572206,292124,386821,342556,59095,23576,17303,5194,3262,47-47037-20200308,10,3
County,2020-03-09,47,TN,47037,Davidson County,127329,566815,2472722,653517,581538,309897,404995,400900,77063,23982,13932,4309,2589,47-47037-20200309,10,3
County,2020-03-10,47,TN,47037,Davidson County,122829,571315,2435849,640750,568780,291624,416886,399083,72887,24977,14067,4373,2422,47-47037-20200310,10,3
County,2020-03-11,47,TN,47037,Davidson County,124254,569890,2546877,712501,623534,297205,405120,382613,72646,22716,18813,7140,4589,47-47037-20200311,10,3
County,2020-03-12,47,TN,47037,Davidson County,129303,564841,2486698,748883,559108,275060,377872,388184,72795,29487,22768,7821,4720,47-47037-20200312,10,3
County,2020-03-13,47,TN,47037,Davidson County,125347,568797,2471722,672144,587747,285698,396311,388670,72986,31570,23046,8340,5210,47-47037-20200313,10,3
County,2020-03-14,47,TN,47037,Davidson County,152638,541506,2359343,643632,579370,276992,370944,361541,66616,26630,21131,7039,5448,47-47037-20200314,10,3
County,2020-03-15,47,TN,47037,Davidson County,174704,519440,2009729,512957,536153,252922,322841,284779,55340,22455,14537,5138,2607,47-47037-20200315,11,3
County,2020-03-16,47,TN,47037,Davidson County,153992,540152,2242489,573171,547107,270240,367043,365309,72194,25605,14923,4376,2521,47-47037-20200316,11,3
County,2020-03-17,47,TN,47037,Davidson County,171193,522951,2137300,554068,505268,251638,357648,353164,66972,26068,14979,4860,2635,47-47037-20200317,11,3
County,2020-03-18,47,TN,47037,Davidson County,179692,514452,2124945,558915,491816,251125,343594,356911,72217,26846,16029,4981,2511,47-47037-20200318,11,3
County,2020-03-19,47,TN,47037,Davidson County,182655,511489,2139126,581102,504597,248092,347556,341482,68952,24859,15615,4922,1949,47-47037-20200319,11,3
County,2020-03-20,47,TN,47037,Davidson County,185603,508541,2067136,530641,512991,249062,330064,328762,66704,24265,16502,5837,2308,47-47037-20200320,11,3
County,2020-03-21,47,TN,47037,Davidson County,201576,492568,1970427,520417,501806,243666,308311,293697,56918,23845,14635,4697,2435,47-47037-20200321,11,3
County,2020-03-22,47,TN,47037,Davidson County,197659,496485,1634069,436431,466072,207255,240126,208143,40312,17996,11850,4151,1733,47-47037-20200322,12,3
County,2020-03-23,47,TN,47037,Davidson County,184501,509643,1776831,502679,427665,195719,269980,284739,57556,21276,11808,3819,1590,47-47037-20200323,12,3
County,2020-03-24,47,TN,47037,Davidson County,191688,502456,1692135,473912,399825,188786,257137,270494,59232,22970,13787,4268,1724,47-47037-20200324,12,3
County,2020-03-25,47,TN,47037,Davidson County,184362,509782,1803421,514696,421936,195597,285172,280277,62001,23777,13749,4299,1917,47-47037-20200325,12,3
County,2020-03-26,47,TN,47037,Davidson County,182191,511953,1924870,558556,464314,215071,292880,292398,61342,21196,12703,4915,1495,47-47037-20200326,12,3
County,2020-03-27,47,TN,47037,Davidson County,179768,514376,1892180,523347,462394,223183,292670,289400,60221,22238,12319,4681,1727,47-47037-20200327,12,3
County,2020-03-28,47,TN,47037,Davidson County,188797,505347,1762943,484626,465978,223398,265443,241877,47099,17679,11134,3933,1776,47-47037-20200328,12,3
County,2020-03-29,47,TN,47037,Davidson County,202708,491436,1610166,450604,444338,196811,248127,196904,40493,17654,10276,3334,1625,47-47037-20200329,13,3
County,2020-03-30,47,TN,47037,Davidson County,185007,509137,1833030,523907,443706,217042,278983,274211,58203,20640,11112,3833,1393,47-47037-20200330,13,3
County,2020-03-31,47,TN,47037,Davidson County,191913,502231,1690236,482304,402065,199056,254943,256971,54980,21689,11600,4638,1990,47-47037-20200331,13,3
County,2020-04-01,47,TN,47037,Davidson County,187608,506536,1874225,557348,440434,208852,277295,289340,61893,21781,11773,3946,1563,47-47037-20200401,13,4
County,2020-04-02,47,TN,47037,Davidson County,186600,507544,1853934,533153,445271,210948,276905,285874,60559,23004,12992,3462,1766,47-47037-20200402,13,4
County,2020-04-03,47,TN,47037,Davidson County,184228,509916,1937866,552504,481772,228795,288645,290220,60539,18777,11128,3729,1757,47-47037-20200403,13,4
County,2020-04-04,47,TN,47037,Davidson County,197128,497016,1784905,520340,459709,221789,271126,235155,45209,16636,9660,3438,1843,47-47037-20200404,13,4
County,2020-04-05,47,TN,47037,Davidson County,210785,483359,1584884,470102,426019,191347,226641,204262,37572,14291,8973,3537,2140,47-47037-20200405,14,4
County,2020-04-06,47,TN,47037,Davidson County,192883,501261,1853751,560563,445344,203641,276972,278652,55650,20639,8878,2476,936,47-47037-20200406,14,4
County,2020-04-07,47,TN,47037,Davidson County,188419,505725,1930851,597084,456159,216343,286751,281698,58806,20905,9423,2770,912,47-47037-20200407,14,4
County,2020-04-08,47,TN,47037,Davidson County,187763,506381,1866183,549676,445872,209323,280977,283187,61653,20448,10834,3102,1111,47-47037-20200408,14,4
County,2020-04-09,47,TN,47037,Davidson County,191341,502803,2016422,653377,482389,209601,283433,293314,58326,22958,8696,3192,1136,47-47037-20200409,14,4
County,2020-04-10,47,TN,47037,Davidson County,183029,511115,1987455,567102,481707,242716,303331,298583,60102,19080,9743,3439,1652,47-47037-20200410,14,4
County,2020-04-11,47,TN,47037,Davidson County,190918,503226,1894277,563409,499479,234597,272771,249186,47983,15221,7781,2698,1152,47-47037-20200411,14,4
County,2020-04-12,47,TN,47037,Davidson County,237662,456482,1252141,363889,356253,142493,177623,151974,35243,14443,6558,2734,931,47-47037-20200412,15,4
County,2020-04-13,47,TN,47037,Davidson County,197314,496830,1787346,521678,424300,208620,267045,274025,59670,19837,8760,2641,770,47-47037-20200413,15,4
County,2020-04-14,47,TN,47037,Davidson County,193821,500323,1722967,553145,420901,196931,224342,244891,49460,17677,9718,3971,1931,47-47037-20200414,15,4
County,2020-04-15,47,TN,47037,Davidson County,187880,506264,1782901,575992,434397,189937,249628,253756,48649,15651,8872,4066,1953,47-47037-20200415,15,4
County,2020-04-16,47,TN,47037,Davidson County,196568,497576,1692256,504775,416036,183558,240427,269737,47240,14712,9712,3778,2281,47-47037-20200416,15,4
County,2020-04-17,47,TN,47037,Davidson County,179287,514857,1739818,510715,437488,203518,248009,252963,53339,17259,10544,3820,2163,47-47037-20200417,15,4
County,2020-04-18,47,TN,47037,Davidson County,196551,497593,1684506,457820,466165,206077,250588,222460,49808,16870,8590,3753,2375,47-47037-20200418,15,4
County,2020-04-19,47,TN,47037,Davidson County,206167,487977,1396398,395326,403326,167302,194416,169210,35675,14222,10980,3453,2488,47-47037-20200419,16,4
County,2020-04-20,47,TN,47037,Davidson County,175016,519128,1879245,558834,483887,208533,266350,278085,49845,16301,10690,4049,2671,47-47037-20200420,16,4
County,2020-04-21,47,TN,47037,Davidson County,180349,513795,1925088,532702,469454,227011,291781,300604,63688,25169,9886,3518,1275,47-47037-20200421,16,4
County,2020-04-22,47,TN,47037,Davidson County,179387,514757,1896398,537694,452510,218398,292536,294288,63224,22683,10452,3513,1100,47-47037-20200422,16,4
County,2020-04-23,47,TN,47037,Davidson County,183108,511036,1823312,482898,443427,214242,291222,292583,58474,25006,10598,3636,1226,47-47037-20200423,16,4
County,2020-04-24,47,TN,47037,Davidson County,173753,520391,1984747,527850,490018,240416,313235,314009,61477,22635,11008,3008,1091,47-47037-20200424,16,4
County,2020-04-25,47,TN,47037,Davidson County,189995,504149,1726182,452138,477758,220007,263550,236367,47677,15684,8708,3203,1090,47-47037-20200425,16,4
County,2020-04-26,47,TN,47037,Davidson County,204274,489870,1609575,421141,442746,210045,241332,220202,45068,16318,8279,3113,1331,47-47037-20200426,17,4
County,2020-04-27,47,TN,47037,Davidson County,174947,519197,1956097,538734,478932,237375,302324,303389,60175,21562,9878,2461,1267,47-47037-20200427,17,4
County,2020-04-28,47,TN,47037,Davidson County,177310,516834,1994894,569515,458196,232808,312208,319343,65842,21949,10299,3577,1157,47-47037-20200428,17,4
County,2020-04-29,47,TN,47037,Davidson County,180484,513660,1887659,512064,465951,219618,288456,299192,63281,22677,11749,3199,1472,47-47037-20200429,17,4
County,2020-04-30,47,TN,47037,Davidson County,172357,521787,2039362,565684,493650,236584,319616,318406,67024,22921,11382,3234,861,47-47037-20200430,17,4
County,2020-05-01,47,TN,47037,Davidson County,164702,529442,2120711,559784,528300,262781,332892,326633,71894,23047,10976,3253,1151,47-47037-20200501,17,5
County,2020-05-02,47,TN,47037,Davidson County,170289,523855,2038357,536767,532823,262497,318463,289768,59991,24041,9616,3083,1308,47-47037-20200502,17,5
County,2020-05-03,47,TN,47037,Davidson County,186190,507954,1805201,510526,495049,224507,268616,232511,44734,16527,8747,2760,1224,47-47037-20200503,18,5
County,2020-05-04,47,TN,47037,Davidson County,166072,528072,2108848,579555,543898,253929,321508,312929,62591,21188,9438,2650,1162,47-47037-20200504,18,5
County,2020-05-05,47,TN,47037,Davidson County,169715,524429,2038079,559672,509896,236297,318395,311991,64384,22582,10723,3200,939,47-47037-20200505,18,5
County,2020-05-06,47,TN,47037,Davidson County,171506,522638,1962976,527635,473966,224992,310875,318416,68537,22943,10634,3670,1308,47-47037-20200506,18,5
County,2020-05-07,47,TN,47037,Davidson County,169755,524389,2000451,540757,488948,223922,310046,329507,66818,23859,11079,3941,1574,47-47037-20200507,18,5
County,2020-05-08,47,TN,47037,Davidson County,171934,522210,1895592,464084,467430,231803,310229,313210,66357,24669,12491,4273,1046,47-47037-20200508,18,5
County,2020-05-09,47,TN,47037,Davidson County,172739,521405,2034846,545329,521996,253629,326422,294190,57424,21282,10535,2824,1215,47-47037-20200509,18,5
County,2020-05-10,47,TN,47037,Davidson County,182905,511239,1788633,446881,476483,221193,295172,259497,56366,19072,9988,2909,1072,47-47037-20200510,19,5
County,2020-05-11,47,TN,47037,Davidson County,152437,541707,2125934,586159,494176,247465,330664,351542,72393,25537,12779,3691,1528,47-47037-20200511,19,5
County,2020-05-12,47,TN,47037,Davidson County,150325,543819,2082592,572158,487017,228895,328758,348328,72116,27090,12652,4441,1137,47-47037-20200512,19,5
County,2020-05-13,47,TN,47037,Davidson County,155323,538821,2001797,557293,467969,227821,307164,326165,69253,27024,12987,4300,1821,47-47037-20200513,19,5
County,2020-05-14,47,TN,47037,Davidson County,148997,545147,2168238,631372,502182,230113,334202,347353,75194,27578,13616,4405,2223,47-47037-20200514,19,5
County,2020-05-15,47,TN,47037,Davidson County,144432,549712,2242384,637934,520069,247865,351542,363485,73349,27998,13775,3999,2368,47-47037-20200515,19,5
County,2020-05-16,47,TN,47037,Davidson County,155920,538224,2179194,604271,542292,276459,334732,319859,58222,25660,10859,4398,2442,47-47037-20200516,19,5
County,2020-05-17,47,TN,47037,Davidson County,156014,538130,1987937,550192,513196,245951,303304,277687,59110,21554,12343,3637,963,47-47037-20200517,20,5
County,2020-05-18,47,TN,47037,Davidson County,133301,560843,2211335,612946,526835,254589,349959,348056,75422,27795,11553,3194,986,47-47037-20200518,20,5
County,2020-05-19,47,TN,47037,Davidson County,131176,562968,2294928,625444,543800,260040,354008,388073,76735,28460,13360,4280,728,47-47037-20200519,20,5
County,2020-05-20,47,TN,47037,Davidson County,128369,565775,2286845,609255,536173,267775,372981,373688,79937,27357,13194,5073,1412,47-47037-20200520,20,5
County,2020-05-21,47,TN,47037,Davidson County,128194,565950,2466558,762838,587252,257653,359751,369664,81358,28271,13397,5048,1326,47-47037-20200521,20,5
County,2020-05-22,47,TN,47037,Davidson County,118458,575686,2378664,619374,576069,271671,389490,382390,84471,31012,17373,5320,1494,47-47037-20200522,20,5
County,2020-05-23,47,TN,47037,Davidson County,130810,563334,2277380,598211,582772,283146,352362,340731,70485,28209,15230,4568,1666,47-47037-20200523,20,5
County,2020-05-24,47,TN,47037,Davidson County,167837,526307,1882066,538682,477679,224749,286718,260697,49876,21656,14048,4653,3308,47-47037-20200524,21,5
County,2020-05-25,47,TN,47037,Davidson County,164159,529985,1795442,488062,453635,216486,276784,258948,53243,23943,15667,5575,3099,47-47037-20200525,21,5
County,2020-05-26,47,TN,47037,Davidson County,151569,542575,2040129,559308,474392,229544,328106,336393,67618,23945,13806,4542,2475,47-47037-20200526,21,5
County,2020-05-27,47,TN,47037,Davidson County,153230,540914,2003945,533908,461538,228350,325431,335561,72666,25509,14148,4945,1889,47-47037-20200527,21,5
County,2020-05-28,47,TN,47037,Davidson County,150003,544141,2099417,587989,482230,238739,329593,340762,72519,26483,14614,4755,1733,47-47037-20200528,21,5
County,2020-05-29,47,TN,47037,Davidson County,154238,539906,2103438,549044,503317,248877,340831,346530,70762,23640,14134,4838,1465,47-47037-20200529,21,5
County,2020-05-30,47,TN,47037,Davidson County,157144,537000,2129015,573250,518381,259021,333934,333926,66337,25072,14194,3693,1207,47-47037-20200530,21,5
County,2020-05-31,47,TN,47037,Davidson County,166897,527247,1891054,521115,482268,223471,288194,281370,51866,22810,13322,4665,1973,47-47037-20200531,22,5
County,2020-06-01,47,TN,47037,Davidson County,147938,546206,2043328,544073,470594,239384,338197,339755,68962,23252,12913,4345,1853,47-47037-20200601,22,6
County,2020-06-02,47,TN,47037,Davidson County,151864,542280,2062631,565262,470594,233705,330064,343605,71871,25698,14943,4783,2106,47-47037-20200602,22,6
County,2020-06-03,47,TN,47037,Davidson County,144243,549901,2165601,595586,504563,247727,344114,350464,73985,26375,16236,4708,1843,47-47037-20200603,22,6
County,2020-06-04,47,TN,47037,Davidson County,144060,550084,2109990,568600,487862,237994,345017,349751,72036,26696,15259,4692,2083,47-47037-20200604,22,6
County,2020-06-05,47,TN,47037,Davidson County,140751,553393,2194774,586812,509836,256221,360810,352600,76731,27563,17147,4948,2106,47-47037-20200605,22,6
County,2020-06-06,47,TN,47037,Davidson County,160949,533195,1979795,518127,493530,240390,323554,307733,56808,21076,13202,3605,1770,47-47037-20200606,22,6
County,2020-06-07,47,TN,47037,Davidson County,161765,532379,1884379,486625,521820,238158,282227,264947,50525,19542,13526,4693,2316,47-47037-20200607,23,6
County,2020-06-08,47,TN,47037,Davidson County,141016,553128,2188510,581312,516936,262650,350535,361369,72150,24176,13119,4250,2013,47-47037-20200608,23,6
County,2020-06-09,47,TN,47037,Davidson County,152822,541322,2040227,548052,478136,231183,334744,337938,67918,22410,13242,4443,2161,47-47037-20200609,23,6
County,2020-06-10,47,TN,47037,Davidson County,149444,544700,2093197,580366,478661,233532,335627,350763,69303,23629,13528,4329,3459,47-47037-20200610,23,6
County,2020-06-11,47,TN,47037,Davidson County,145793,548351,2137309,576076,494149,250204,340143,355752,72400,26350,14559,4502,3174,47-47037-20200611,23,6
County,2020-06-12,47,TN,47037,Davidson County,145106,549038,2189529,614510,504412,254245,344069,353137,71492,24701,15673,5071,2219,47-47037-20200612,23,6
County,2020-06-13,47,TN,47037,Davidson County,151184,542960,2164127,575523,532178,265677,338102,336312,70265,24807,15006,4567,1690,47-47037-20200613,23,6
County,2020-06-14,47,TN,47037,Davidson County,163135,531009,1855551,505065,476602,224510,281905,263234,56082,23245,17109,5605,2194,47-47037-20200614,24,6
County,2020-06-15,47,TN,47037,Davidson County,150148,543996,2039447,564941,473088,235342,325235,333737,65716,22516,12587,4363,1922,47-47037-20200615,24,6
County,2020-06-16,47,TN,47037,Davidson County,150790,543354,2163054,595314,507406,244585,346545,353437,69758,25211,14665,4525,1608,47-47037-20200616,24,6
County,2020-06-17,47,TN,47037,Davidson County,147006,547138,2200658,616883,500884,247849,346704,367068,74436,25866,14235,5247,1486,47-47037-20200617,24,6
County,2020-06-18,47,TN,47037,Davidson County,146643,547501,2183724,617530,496714,245397,348040,354102,75039,25125,14848,5362,1567,47-47037-20200618,24,6
